Mineral;Country;Reserves 2023 (in 1.000 Tons);Latitude;Longitude
Nickel;United States;370;37.0902;-95.7129
Nickel;Australia;21000;-25.2744;133.7751
Nickel;Brazil;16000;-14.235;-51.9253
Nickel;Canada;2200;56.1304;-106.3468
Nickel;China;2100;35.8617;104.1954
Nickel;Indonesia;21000;-0.7893;113.9213
Nickel;New Caledonia;7100;-20.904305;165.618042
Nickel;Philippines;4800;12.8797;121.774
Nickel;Russia;7500;61.524;105.3188
Cobalt;United States;69;37.0902;-95.7129
Cobalt;Australia;1500;-25.2744;133.7751
Cobalt;Canada;220;56.1304;-106.3468
Cobalt;China;140;35.8617;104.1954
Cobalt;Congo;4000;-0.228;15.8277
Cobalt;Cuba;500;21.5218;-77.7812
Cobalt;Indonesia;600;-0.7893;113.9213
Cobalt;Madagascar;100;-18.7669;46.8691
Cobalt;Morocco;13;31.7917;-7.0926
Cobalt;Papua New Guinea;47;-6.314993;143.95555
Cobalt;Philippines;260;12.8797;121.774
Cobalt;Russia;250;61.524;105.3188
Cobalt;Turkey;36;38.9637;35.2433
Lithium;Chile;9300;-35.6751;-71.543
Lithium;Australia;6200;-25.2744;133.7751
Lithium;Argentina;2700;-38.4161;-63.6167
Lithium;China;2000;35.8617;104.1954
Lithium;United States;1000;37.0902;-95.7129
Lithium;Canada;930;56.1304;-106.3468
Lithium;Brazil;250;-14.235;-51.9253
Lithium;Zimbabwe;310;-19.0154;29.1549
Lithium;Portugal;60;39.3999;-8.2245
Lithium;Canada;930;56.1304;-106.3468
